Название награды;Медаль;ППЗ;Все типы;Степень важности;Серия;Изображение;М - Диаметр медали (мм);М - Цвет медали;М - Материал медали;М - Диаметр значка (мм);М - Материал значка;М - Толщина верхней части значка (мм);М - Размер (мм) удостоверения, длина;М - Размер (мм) удостоверения, ширина;М - Цвет удостоверения;М - Обложка;М - Вкладыш;М - Тип коробки под медаль;М - Размер (мм) коробки под медаль, длина;М - Размер (мм) коробки под медаль, ширина;М - Размер (мм) лож под медаль (кор);М - Размер (мм) лож под значок (кор);М - Материал коробки под медаль;М - Цвет коробки под медаль;М - Запонки к медали - чек;М - Материал запонок;М - Размер (мм) коробки под запонки, длина;М - Размер (мм) коробки под запонки, ширина;М - Материал коробки под запонки;М - Цвет коробки под запонки;М - Кулон к медали - чек;М - Материал кулона;М - Размер (мм) коробки под кулон, длина;М - Размер (мм) коробки под кулон, ширина;М - Материал коробки под кулон;М - Цвет коробки под кулон;М - Количество медалей;М - Количество значков (золото);М - Количество значков (серебро);М - Количество значков (з-с);М - Количество значков (латунь);М - Количество удостоверений;М - Количество коробок под медали;М - закрытие медали;М - закрытие значка;М - закрытие удостоверения;М - закрытие украшений;М - закрытие коробки - м;М - закрытие коробки - з;М - закрытие коробки - к;Количество запонок;Количество коробок под запонки;Количество кулонов;Количество цепочек;Количество коробок под кулоны;Комментарий украшения;Комментарий украшения - выбытие;М - 1) Медаль - комментарий;М - 2) Значок - комментарий;М - 3) Удостоверение - комментарий;М - 4) Украшения - комментарий;М - 5) Коробка (медаль) - комментарий;М - 6) Коробка (запонки) - комментарий;М - 7) Коробка (кулон) - комментарий;П - Размер ППЗ (мм);П - Материал ППЗ;П - Размер (мм) колодки, длина;П - Размер (мм) колодки, ширина;П - Размер (мм) ленты, длина;П - Размер (мм) ленты, ширина;П - Размер (мм) коробки под ППЗ, длина;П - Размер (мм) коробки под ППЗ, ширина;П - Материал коробки под ППЗ;П - Цвет коробки под ППЗ;П - Количество ППЗ;П - Количество удостов ППЗ;П - Количество значков;П - Количество коробок под ППЗ;П - 1) ППЗ - комментарий;П - 2) Коробка ППЗ - комментарий;П - закрытие - ППЗ;П - закрытие - коробка;Дата_протокол;Номер_протокол;Файл_протокол;Архив;Дата создания;Количество комплектов;Учёт - комментарий - 1;Учёт - комментарий - 2;Учёт - комментарий - 3;Учёт - комментарий - 4;Без значка;Учреждение награды;Положение;Экскиз медали/ППЗ;Эскиз значка;Дизайн коробки;Дизайн удостоверения;Дизайн вкладыша;УЧРЕЖД_закрытие;УН - удостов - количество;УН - коробки - количество;УН - удостов - чек;УН - коробки - чек;РН;РД;ФК;ОТЛ
Медаль 300 лет российской нефти;True;False;True;Б - Высокая;;;55;Золото;Латунь;12;Латунь;-;100;65;бордо;бумвинил;полноцвет;Введите тип коробки;75;105;57;12;пластик;синий;False;-;-;-;-;-;False;-;-;-;-;-;0;0;0;0;0;0;0;False;False;False;False;False;False;False;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;False;False;2022-04-20 00:00:00;2;;False;2023-10-15 00:00:00;13;;;;;False;;;;;;;;False;0;0;False;False;;;;
Медаль Грайфера В.И. - I;True;False;True;Б - Высокая;;;70;;Латунь;20;Серебро, позолота, эмаль;;155;95;Синий;Бумвинил;;УВ;215;140;74;12;Флок;;False;;;;;;False;;;;;;6;0;4;0;0;0;0;True;True;True;True;True;True;True;0;0;0;0;0;;;Цвет - Золото, ПРУФ;Черная эмаль;Общее;;Цвет Синий;;;;;;;;;;;;;0;0;0;0;;;False;False;2022-02-08 00:00:00;1;;False;2023-09-10 00:00:00;0;;;;Вручено 30.08.2023 Гуржий;False;;;;;;;;True;0;0;False;False;;;;
Медаль Грайфера В.И. - II;True;False;True;Б - Высокая;;;55;Серебро;Латунь;;;;155;95;Синий;Бумвинил;;УВ;120;85;58;;Флок;Синий;False;;;;;;False;;;;;;0;0;0;0;0;0;0;True;False;True;False;True;False;False;1;1;1;0;1;;;Цвет - серебро, ПРУФ;;Общее;;Цвет - Синий;;;;;;;;;;;;;0;0;0;0;;;False;False;2022-02-08 00:00:00;1;;False;2023-09-10 00:00:00;27;;;;;True;;;;;;;;False;0;0;False;False;;;;
Медаль Грайфера В.И. - III;True;False;True;В - Средняя;;;45;Бронза;Латунь;;;;155;95;Синий;;;УВ;120;85;47;;Флок;Синий;False;;;;;;False;;;;;;0;0;0;0;0;0;0;True;False;True;False;True;False;False;0;0;0;0;0;;;Цвет - Бронза;;Общее;;;;;;;;;;;;;;;0;0;0;0;;;False;False;2022-02-08 00:00:00;1;;False;2023-09-10 00:00:00;49;;;;;True;;;;;;;;False;0;0;False;False;;;;
Медаль Лемаева Н.В.;True;False;True;Г - Низкая;;;55;;Латунь;;;;155;95;Синий;Бумвинил;Лемаев;УВ;120;90;58;;Флок;;False;;;;;;False;;;;;;1;0;0;0;0;0;0;True;False;False;False;False;False;False;2;2;2;2;2;;;Серебряный цвет;Без значка;Общее;;Синий;;;;;;;;;;;;;0;0;0;0;;;False;False;2022-02-08 00:00:00;1;;False;2023-09-10 00:00:00;25;;;;;True;;;;;;;;False;0;0;False;False;;;;
Медаль Михельсона В.З.;True;False;True;Г - Низкая;;;80;;;10,27;серебро с позолотой лимон;4,62;155;95;синий;бумвинил;;УВ;160;160;85;12;флок;;True;;75;60;флок;синий;True;;235;30;флок;синий;0;0;0;0;0;0;2;False;False;False;False;False;False;False;0;0;0;0;0;;;Цвет - Золото, ПРУФ;Материал -серебро с позолотой, золото - лимон;;Материал -серебро с позолотой, золото - лимон;;;;;;;;;;;;;;0;0;0;0;;;False;False;2022-02-08 00:00:00;1;;False;2023-09-10 00:00:00;27;;;;;False;;;;;;;;False;0;0;False;False;;;;
Медаль Непорожнего П.С.;True;False;True;Г - Низкая;;;;;;;;;;;;;;Введите тип коробки;;;;;;;True;серебро;;;;;True;серебро;;;;;0;0;0;0;0;0;0;False;False;False;False;False;False;False;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;False;False;2022-02-08 00:00:00;1;;False;2023-09-10 00:00:00;0;;;;;True;;;;;;;;False;0;0;False;False;;;;
Медаль Оруджева С.А.;True;False;True;Г - Низкая;;;90;;;16;серебро с позолотой;5;160;96;синий;бумвинил;;УВ;215;140;95;16;флок;;False;;;;;;False;;;;;;0;0;0;4;0;0;0;False;False;False;False;False;False;False;0;0;0;0;0;;;Цвет - золото, ПРУФ;;Индивидуальное удостоверение с надписью - Медаль Оруджева;;Цвет - синий;;;;;;;;;;;;;0;0;0;0;;;False;False;2023-07-11 00:00:00;12;;False;2023-09-10 00:00:00;10;;;;;False;;;;;;;;False;0;0;False;False;;;;
Медаль Трофимука А.А.;True;False;True;Г - Низкая;;;;;;;;;;;;;;Введите тип коробки;;;;;;;False;;;;;;False;;;;;;0;0;0;0;0;0;0;False;False;False;False;False;False;False;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;5;0;0;0;;;False;False;2023-07-11 00:00:00;12;;False;2023-09-10 00:00:00;0;;;;;False;;;;;;;;True;0;0;False;False;;;;
Медаль Хаджиева С.Н.;True;False;True;Г - Низкая;;Изображение WhatsApp 2023-09-03 в 16.07.07.jpg;112;Золото;Латунь;15;Серебро с позолотой;2,5;155;95;Синий;Бумвинил;;Введите тип коробки;160;160;;;Флок;Синий;True;Серебро с позолотой;80;60;Флок;Синий;True;Серебро с позолотой;80;60;Флок;Синий;0;0;0;0;0;0;0;True;True;True;True;True;True;True;0;0;0;0;0;;;;Золото и Латунь;;Золото и Латунь;;;;;;;;;;;;;;0;0;0;0;;;False;False;2022-02-08 00:00:00;1;;False;2023-09-10 00:00:00;22;;;;;False;;;;;;;;False;0;0;False;False;;;;
ППЗ Грайфера В.И.;False;True;True;Г - Низкая;;;;;;;;;;;;;;Введите тип коробки;;;;;;;False;;;;;;False;;;;;;0;0;0;0;0;0;0;False;False;False;False;False;False;False;0;0;0;0;0;;;;;;;;;;32х30;латунь с черной эмалью;20;32;10;;115;55;флок;красный;0;0;0;0;;;False;False;2023-07-11 00:00:00;12;;False;2023-09-16 00:00:00;39;;;;;True;;;;;;;;False;;-1;False;False;;;;
ППЗ за освоение недр Западной Сибири;False;True;True;В - Средняя;;;;;;;;;;;;;;Введите тип коробки;;;;;;;False;;;;;;False;;;;;;0;0;0;0;0;0;0;False;False;False;False;False;False;False;0;0;0;0;0;;;;;;;;;;30;латунь и эмаль;27;35;25;24;60;115;флок;синий;0;0;0;0;;;False;False;2023-07-11 00:00:00;12;;False;2023-09-10 00:00:00;22;;;;;True;;;;;;;;False;0;0;False;False;;;;
ППЗ Михельсона В.З.;False;True;True;Г - Низкая;;;;;;;;;;;;;;Введите тип коробки;;;;;;;False;;;;;;False;;;;;;0;1;1;1;1;1;1;False;False;False;False;False;False;False;0;0;0;0;0;;;;;;;;;;38х36;латунь;33;28;23;;115;58;флок;синий;1;0;2;0;Размер по максимальным точкам;;False;False;2023-05-25 00:00:00;11;;False;2023-09-10 00:00:00;36;;;;;False;;;;;;;;False;0;0;False;False;;;;
ППЗ Оруджева С.А.;False;True;True;Г - Низкая;;;;;;;;;;;;;;Введите тип коробки;;;;;;;False;;;;;;False;;;;;;0;0;0;0;0;0;0;False;False;False;False;False;False;False;0;0;0;0;0;;;;;;;;;;32х40;латунь;20;33;18;22;60;115;флок;синий;0;0;0;0;;;False;False;2023-07-11 00:00:00;12;;False;2023-09-10 00:00:00;20;;;;;False;;;;;;;;False;0;0;False;False;;;;
ППЗ для тестов ФУ;False;True;True;;;;;;;;;;;;;;;Введите тип коробки;;;;;;;False;;;;;;False;;;;;;0;0;0;0;0;0;0;False;False;False;False;False;False;False;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;False;False;;;;False;2024-05-31 00:00:00;0;;;;;True;;;;;;;;False;0;0;False;False;0;0;0;0
За мужество при выполнении боевых задач в условиях СВО;True;False;True;;;;;;;;;;;;;;;Введите тип коробки;;;;;;;False;;;;;;False;;;;;;0;0;0;0;0;0;0;False;False;False;False;False;False;False;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;False;False;;;;False;2025-11-07 00:00:00;0;;;;;False;;;;;;;;False;0;0;False;False;0;0;0;0
За проявленное мужество при выполнении боевых задач в период СВО;True;False;True;;;;;;;;;;;;;;;Введите тип коробки;;;;;;;False;;;;;;False;;;;;;0;0;0;0;0;0;0;False;False;False;False;False;False;False;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;False;False;;;;False;2025-11-07 00:00:00;0;;;;;False;;;;;;;;False;0;0;False;False;0;0;0;0
Медаль Z за мужество при выполнении задач в период СВО;True;False;True;;;МедальZ.png;;;;;;;;;;;;Введите тип коробки;;;;;;;False;;;;;;False;;;;;;0;0;0;0;0;0;0;False;False;False;False;False;False;False;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;False;False;2025-08-18 00:00:00;25;;False;2026-02-06 00:00:00;0;;;;;False;;;;;;;;True;0;0;False;False;0;0;0;0
Медаль за мужество при выполнении задач в период СВО;True;False;True;;;;;;;;;;;;;;;Введите тип коробки;;;;;;;False;;;;;;False;;;;;;0;0;0;0;0;0;0;False;False;False;False;False;False;False;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;False;False;;;;False;2026-02-06 00:00:00;0;;;;;False;;;;;;;;False;0;0;False;False;0;0;0;0
За мужество при выполнении задач в период СВО;True;False;True;;;;;;;;;;;;;;;Введите тип коробки;;;;;;;False;;;;;;False;;;;;;0;0;0;0;0;0;0;False;False;False;False;False;False;False;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;False;False;;;;False;2026-02-06 00:00:00;0;;;;;False;;;;;;;;False;0;0;False;False;0;0;0;0
Медаль Голубкова С.В.;True;False;True;;;;;;;;;;;;;;;Введите тип коробки;;;;;;;False;;;;;;False;;;;;;0;0;0;0;0;0;0;False;False;False;False;False;False;False;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;False;False;;;;False;2026-03-13 00:00:00;0;;;;;False;;;;;;;;False;0;0;False;False;0;0;0;0
Голубкова С.В.;True;False;True;;;;;;;;;;;;;;;Введите тип коробки;;;;;;;False;;;;;;False;;;;;;0;0;0;0;0;0;0;False;False;False;False;False;False;False;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;False;False;;;;False;2026-03-13 00:00:00;0;;;;;False;;;;;;;;False;0;0;False;False;0;0;0;0
Маганова Р.У.;False;True;True;А - Срочная;;Снимок экрана 2025-09-09 185740.png;;;;;;;;;;;;Введите тип коробки;;;;;;;False;;;;;;False;;;;;;0;0;0;0;0;0;0;False;False;False;False;False;False;False;0;0;0;0;0;;;;;;;;;;32х39;Латунь;28;24;28;24;;;флок;зеленый;0;0;0;0;;;False;False;;;;False;2025-09-09 00:00:00;0;;;;;False;;;;;;;;True;0;0;False;False;0;0;0;0
ППЗ Конторовича А.Э.;False;True;True;;;Снимок экрана 2025-09-11 103719.png;;;;;;;;;;;;Введите тип коробки;;;;;;;False;;;;;;False;;;;;;0;0;0;0;0;0;0;False;False;False;False;False;False;False;0;0;0;0;0;;;;;;;;;;28,5x43;Латунь, Эмаль;28;24;;;;;флок;синий;0;0;0;0;;;False;False;;;;False;2025-09-11 00:00:00;0;;;;;False;;;;;;;;False;0;0;False;False;0;0;0;0
